key,CONFERENCE,SystemName
Maryland,Big Ten,maryland
Boston College,ACC,boston-college
North Carolina,ACC,north-carolina
Northwestern,Big Ten,northwestern
Syracuse,ACC,syracuse
Virginia,ACC,virginia
Princeton,Ivy League,princeton
Florida,AAC,florida
Southern California,Pac-12,southern-california
Loyola,Patriot,loyola-maryland
Navy,Patriot,navy
Michigan,Big Ten,michigan
Denver,Big East,denver
Penn,Ivy League,penn
Notre Dame,ACC,notre-dame
James Madison,CAA,james-madison
Dartmouth,Ivy League,dartmouth
Penn St.,Big Ten,penn
Stony Brook,America East,stony-brook
Johns Hopkins,Big Ten,johns-hopkins
Colorado,Pac-12,colorado
Massachusetts,Atlantic 10,massachusetts
Richmond,Atlantic 10,richmond
Stanford,Pac-12,stanford
Georgetown,Big East,georgetown
Duke,ACC,duke
High Point,Big South,high-point
Hofstra,CAA,hofstra
Jacksonville,ASUN,jacksonville
Liberty,ASUN,liberty
Wagner,NEC,wagner
Virginia Tech,ACC,virginia-tech
Fairfield,MAAC,fairfield
Army West Point,Patriot,army
Mount St. Mary's,NEC,mt-st-marys
Villanova,Big East,villanova
Towson,CAA,towson
Ohio St.,Big Ten,ohio-st
Boston University,Patriot,boston-u
Cornell,Ivy League,cornell
Vanderbilt,AAC,vanderbilt
Albany (NY),America East,albany-ny
San Diego St.,MPSF,san-diego-st
Harvard,Ivy League,harvard
Louisville,ACC,louisville
Saint Joseph's,Atlantic 10,saint-josephs
George Mason,Atlantic 10,george-mason
Brown,Ivy League,brown
Elon,CAA,elon
California,Pac-12,california
UC Davis,MPSF,uc-davis
Cincinnati,AAC,cincinnati
Coastal Caro.,ASUN,coastal-caro
Lehigh,Patriot,lehigh
Marquette,Big East,marquette
Rutgers,Big Ten,rutgers
Siena,MAAC,siena
William & Mary,CAA,william-mary
Colgate,Patriot,colgate
Monmouth,MAAC,monmouth
Robert Morris,NEC,robert-morris
Marist,MAAC,marist
Duquesne,Atlantic 10,duquesne
Manhattan,MAAC,manhattan
Bryant,NEC,bryant
Temple,AAC,temple
Fresno St.,MPSF,fresno-st
Columbia,Ivy League,columbia
Davidson,Atlantic 10,davidson
Furman,SoCon,furman
VCU,Atlantic 10,vcu
New Hampshire,America East,new-hampshire
Delaware,CAA,delaware
Yale,Ivy League,yale
Campbell,Big South,campbell
Drexel,CAA,drexel
UConn,AAC,uconn
UMBC,America East,umbc
Vermont,America East,vermont
Arizona St.,Pac-12,arizona-st
Oregon,Pac-12,oregon
Mercer,SoCon,mercer
Kennesaw St.,ASUN,kennesaw-st
George Washington,Atlantic 10,george-washington
American,Patriot,american
Winthrop,Big South,winthrop
Old Dominion,Big East,old-dominion
La Salle,Atlantic 10,la-salle
Bucknell,Patriot,bucknell
Longwood,Big South,longwood
Detroit Mercy,SoCon,detroit-mercy
Holy Cross,Patriot,holy-cross
Canisius,MAAC,canisius
Central Mich.,SoCon,central-mich
East Carolina,AAC,east-carolina
Quinnipiac,MAAC,quinnipiac
Niagara,MAAC,niagara
LIU Brooklyn,NEC,liu-brooklyn
Lafayette,Patriot,lafayette
Sacred Heart,NEC,sacred-heart
Saint Francis (PA),NEC,st-francis-pa
Radford,Big South,radford
UMass Lowell,America East,umass-lowell
Stetson,ASUN,stetson
Butler,Big East,butler
Gardner-Webb,Big South,gardner-webb
Binghamton,America East,binghamton
Iona,MAAC,iona
Kent St.,ASUN,kent-st
St. Bonaventure,Atlantic 10,st-bonaventure
Central Conn. St.,NEC,central-conn-st
Presbyterian,Big South,presbyterian
Wofford,SoCon,wofford
Hartford,America East,hartford
Howard,ASUN,howard
Delaware St.,,delaware-st
